The 0 round: 56 buy tx | 43 sell tx | 1 unfinished tx.
The 212 round: 49 buy tx | 51 sell tx | 7 unfinished tx.
The 213 round: 48 buy tx | 53 sell tx | 6 unfinished tx.
The 214 round: 48 buy tx | 51 sell tx | 7 unfinished tx.
The 215 round: 53 buy tx | 47 sell tx | 7 unfinished tx.
The 216 round: 37 buy tx | 62 sell tx | 8 unfinished tx.
The 217 round: 52 buy tx | 48 sell tx | 8 unfinished tx.
The 218 round: 56 buy tx | 44 sell tx | 8 unfinished tx.
The 219 round: 50 buy tx | 49 sell tx | 9 unfinished tx.
The 220 round: 50 buy tx | 50 sell tx | 9 unfinished tx.
The 221 round: 41 buy tx | 59 sell tx | 9 unfinished tx.
The 222 round: 54 buy tx | 46 sell tx | 9 unfinished tx.
The 223 round: 49 buy tx | 50 sell tx | 10 unfinished tx.
The 224 round: 58 buy tx | 43 sell tx | 9 unfinished tx.
The 225 round: 49 buy tx | 50 sell tx | 10 unfinished tx.
The 226 round: 44 buy tx | 53 sell tx | 13 unfinished tx.
The 227 round: 44 buy tx | 57 sell tx | 12 unfinished tx.
The 228 round: 53 buy tx | 49 sell tx | 10 unfinished tx.
The 229 round: 53 buy tx | 46 sell tx | 11 unfinished tx.
The 230 round: 52 buy tx | 48 sell tx | 11 unfinished tx.
The 231 round: 47 buy tx | 53 sell tx | 11 unfinished tx.
The 232 round: 53 buy tx | 47 sell tx | 11 unfinished tx.
The 233 round: 50 buy tx | 49 sell tx | 12 unfinished tx.
The 234 round: 53 buy tx | 47 sell tx | 12 unfinished tx.
The 235 round: 44 buy tx | 55 sell tx | 13 unfinished tx.
The 236 round: 56 buy tx | 45 sell tx | 12 unfinished tx.
The 237 round: 45 buy tx | 56 sell tx | 11 unfinished tx.
The 238 round: 50 buy tx | 51 sell tx | 10 unfinished tx.
The 239 round: 48 buy tx | 51 sell tx | 11 unfinished tx.
The 240 round: 46 buy tx | 53 sell tx | 12 unfinished tx.
The 241 round: 51 buy tx | 48 sell tx | 13 unfinished tx.
The 242 round: 50 buy tx | 50 sell tx | 13 unfinished tx.
The 243 round: 52 buy tx | 49 sell tx | 12 unfinished tx.
The 244 round: 42 buy tx | 57 sell tx | 13 unfinished tx.
The 245 round: 57 buy tx | 45 sell tx | 11 unfinished tx.
The 246 round: 48 buy tx | 51 sell tx | 12 unfinished tx.
The 247 round: 54 buy tx | 47 sell tx | 11 unfinished tx.
The 248 round: 50 buy tx | 50 sell tx | 11 unfinished tx.
The 249 round: 42 buy tx | 59 sell tx | 10 unfinished tx.
The 250 round: 100 buy tx | 0 sell tx | 10 unfinished tx.
The 251 round: 50 buy tx | 55 sell tx | 5 unfinished tx.
The 252 round: 53 buy tx | 47 sell tx | 5 unfinished tx.
The 253 round: 58 buy tx | 42 sell tx | 5 unfinished tx.
The 254 round: 59 buy tx | 42 sell tx | 4 unfinished tx.
The 255 round: 53 buy tx | 48 sell tx | 3 unfinished tx.
The 256 round: 57 buy tx | 43 sell tx | 3 unfinished tx.
The 257 round: 55 buy tx | 45 sell tx | 3 unfinished tx.
The 258 round: 45 buy tx | 55 sell tx | 3 unfinished tx.
The 259 round: 52 buy tx | 48 sell tx | 3 unfinished tx.
The 260 round: 46 buy tx | 54 sell tx | 3 unfinished tx.
The 261 round: 52 buy tx | 48 sell tx | 3 unfinished tx.
The 262 round: 48 buy tx | 52 sell tx | 3 unfinished tx.
The 263 round: 51 buy tx | 47 sell tx | 5 unfinished tx.
The 264 round: 59 buy tx | 42 sell tx | 4 unfinished tx.
The 265 round: 45 buy tx | 54 sell tx | 5 unfinished tx.
The 266 round: 46 buy tx | 54 sell tx | 5 unfinished tx.
The 267 round: 49 buy tx | 52 sell tx | 4 unfinished tx.
The 268 round: 54 buy tx | 46 sell tx | 4 unfinished tx.
The 269 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 270 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 271 round: 43 buy tx | 57 sell tx | 4 unfinished tx.
The 272 round: 50 buy tx | 50 sell tx | 4 unfinished tx.
The 273 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 274 round: 51 buy tx | 49 sell tx | 4 unfinished tx.
The 275 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 276 round: 57 buy tx | 43 sell tx | 4 unfinished tx.
The 277 round: 49 buy tx | 50 sell tx | 5 unfinished tx.
The 278 round: 54 buy tx | 46 sell tx | 5 unfinished tx.
The 279 round: 45 buy tx | 54 sell tx | 6 unfinished tx.
The 280 round: 51 buy tx | 50 sell tx | 5 unfinished tx.
The 281 round: 45 buy tx | 55 sell tx | 5 unfinished tx.
The 282 round: 46 buy tx | 55 sell tx | 4 unfinished tx.
The 283 round: 52 buy tx | 47 sell tx | 5 unfinished tx.
The 284 round: 49 buy tx | 52 sell tx | 4 unfinished tx.
The 285 round: 57 buy tx | 43 sell tx | 4 unfinished tx.
The 286 round: 44 buy tx | 56 sell tx | 4 unfinished tx.
The 287 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 288 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 289 round: 48 buy tx | 51 sell tx | 5 unfinished tx.
The 290 round: 47 buy tx | 53 sell tx | 5 unfinished tx.
The 291 round: 51 buy tx | 50 sell tx | 4 unfinished tx.
The 292 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 293 round: 37 buy tx | 60 sell tx | 7 unfinished tx.
The 294 round: 53 buy tx | 45 sell tx | 9 unfinished tx.
The 295 round: 42 buy tx | 60 sell tx | 7 unfinished tx.
The 296 round: 52 buy tx | 48 sell tx | 7 unfinished tx.
The 297 round: 50 buy tx | 50 sell tx | 7 unfinished tx.
The 298 round: 49 buy tx | 53 sell tx | 5 unfinished tx.
The 299 round: 51 buy tx | 48 sell tx | 6 unfinished tx.
The 300 round: 101 buy tx | 0 sell tx | 5 unfinished tx.
The 301 round: 44 buy tx | 58 sell tx | 3 unfinished tx.
The 302 round: 50 buy tx | 50 sell tx | 3 unfinished tx.
The 303 round: 59 buy tx | 40 sell tx | 4 unfinished tx.
The 304 round: 43 buy tx | 57 sell tx | 4 unfinished tx.
The 305 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 306 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 307 round: 50 buy tx | 50 sell tx | 4 unfinished tx.
The 308 round: 44 buy tx | 55 sell tx | 5 unfinished tx.
The 309 round: 49 buy tx | 52 sell tx | 4 unfinished tx.
The 310 round: 42 buy tx | 57 sell tx | 5 unfinished tx.
The 311 round: 56 buy tx | 44 sell tx | 5 unfinished tx.
The 312 round: 49 buy tx | 51 sell tx | 5 unfinished tx.
The 313 round: 54 buy tx | 47 sell tx | 4 unfinished tx.
The 314 round: 55 buy tx | 44 sell tx | 5 unfinished tx.
The 315 round: 50 buy tx | 52 sell tx | 3 unfinished tx.
The 316 round: 55 buy tx | 45 sell tx | 3 unfinished tx.
The 317 round: 53 buy tx | 47 sell tx | 3 unfinished tx.
The 318 round: 41 buy tx | 59 sell tx | 3 unfinished tx.
The 319 round: 50 buy tx | 50 sell tx | 3 unfinished tx.
The 320 round: 46 buy tx | 54 sell tx | 3 unfinished tx.
The 321 round: 49 buy tx | 49 sell tx | 5 unfinished tx.
The 322 round: 48 buy tx | 51 sell tx | 6 unfinished tx.
The 323 round: 55 buy tx | 45 sell tx | 6 unfinished tx.
The 324 round: 48 buy tx | 55 sell tx | 3 unfinished tx.
The 325 round: 46 buy tx | 54 sell tx | 3 unfinished tx.
The 326 round: 42 buy tx | 57 sell tx | 4 unfinished tx.
The 327 round: 42 buy tx | 58 sell tx | 4 unfinished tx.
The 328 round: 52 buy tx | 48 sell tx | 4 unfinished tx.
The 329 round: 55 buy tx | 45 sell tx | 4 unfinished tx.
The 330 round: 52 buy tx | 48 sell tx | 4 unfinished tx.
The 331 round: 49 buy tx | 50 sell tx | 5 unfinished tx.
The 332 round: 53 buy tx | 48 sell tx | 4 unfinished tx.
The 333 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 334 round: 49 buy tx | 50 sell tx | 5 unfinished tx.
The 335 round: 53 buy tx | 47 sell tx | 5 unfinished tx.
The 336 round: 57 buy tx | 42 sell tx | 6 unfinished tx.
The 337 round: 49 buy tx | 52 sell tx | 5 unfinished tx.
The 338 round: 50 buy tx | 50 sell tx | 5 unfinished tx.
The 339 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 340 round: 49 buy tx | 51 sell tx | 5 unfinished tx.
The 341 round: 47 buy tx | 53 sell tx | 5 unfinished tx.
The 342 round: 52 buy tx | 49 sell tx | 4 unfinished tx.
The 343 round: 44 buy tx | 55 sell tx | 5 unfinished tx.
The 344 round: 49 buy tx | 49 sell tx | 7 unfinished tx.
The 345 round: 45 buy tx | 56 sell tx | 6 unfinished tx.
The 346 round: 43 buy tx | 57 sell tx | 6 unfinished tx.
The 347 round: 49 buy tx | 53 sell tx | 4 unfinished tx.
The 348 round: 48 buy tx | 52 sell tx | 4 unfinished tx.
The 349 round: 47 buy tx | 53 sell tx | 4 unfinished tx.
The 350 round: 100 buy tx | 0 sell tx | 4 unfinished tx.
The 351 round: 57 buy tx | 44 sell tx | 3 unfinished tx.
The 352 round: 45 buy tx | 55 sell tx | 3 unfinished tx.
The 353 round: 52 buy tx | 48 sell tx | 3 unfinished tx.
The 354 round: 53 buy tx | 47 sell tx | 3 unfinished tx.
The 355 round: 45 buy tx | 54 sell tx | 4 unfinished tx.
The 356 round: 50 buy tx | 51 sell tx | 3 unfinished tx.
The 357 round: 59 buy tx | 41 sell tx | 3 unfinished tx.
The 358 round: 58 buy tx | 40 sell tx | 5 unfinished tx.
The 359 round: 51 buy tx | 48 sell tx | 6 unfinished tx.
The 360 round: 58 buy tx | 44 sell tx | 4 unfinished tx.
The 361 round: 42 buy tx | 57 sell tx | 5 unfinished tx.
The 362 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 363 round: 45 buy tx | 52 sell tx | 8 unfinished tx.
The 364 round: 56 buy tx | 43 sell tx | 9 unfinished tx.
The 365 round: 54 buy tx | 45 sell tx | 10 unfinished tx.
The 366 round: 60 buy tx | 41 sell tx | 9 unfinished tx.
The 367 round: 53 buy tx | 47 sell tx | 9 unfinished tx.
The 368 round: 48 buy tx | 52 sell tx | 9 unfinished tx.
The 369 round: 49 buy tx | 52 sell tx | 8 unfinished tx.
The 370 round: 48 buy tx | 54 sell tx | 6 unfinished tx.
The 371 round: 46 buy tx | 54 sell tx | 6 unfinished tx.
The 372 round: 60 buy tx | 41 sell tx | 5 unfinished tx.
The 373 round: 50 buy tx | 50 sell tx | 5 unfinished tx.
The 374 round: 51 buy tx | 49 sell tx | 5 unfinished tx.
The 375 round: 50 buy tx | 50 sell tx | 5 unfinished tx.
The 376 round: 43 buy tx | 56 sell tx | 6 unfinished tx.
The 377 round: 53 buy tx | 48 sell tx | 5 unfinished tx.
The 378 round: 48 buy tx | 52 sell tx | 5 unfinished tx.
The 379 round: 45 buy tx | 53 sell tx | 7 unfinished tx.
The 380 round: 48 buy tx | 53 sell tx | 6 unfinished tx.
The 381 round: 54 buy tx | 46 sell tx | 6 unfinished tx.
The 382 round: 54 buy tx | 46 sell tx | 6 unfinished tx.
The 383 round: 52 buy tx | 48 sell tx | 6 unfinished tx.
The 384 round: 52 buy tx | 49 sell tx | 5 unfinished tx.
The 385 round: 48 buy tx | 53 sell tx | 4 unfinished tx.
The 386 round: 49 buy tx | 50 sell tx | 5 unfinished tx.
The 387 round: 35 buy tx | 62 sell tx | 8 unfinished tx.
The 388 round: 55 buy tx | 45 sell tx | 8 unfinished tx.
The 389 round: 51 buy tx | 49 sell tx | 8 unfinished tx.
The 390 round: 54 buy tx | 45 sell tx | 9 unfinished tx.
The 391 round: 57 buy tx | 43 sell tx | 9 unfinished tx.
The 392 round: 54 buy tx | 47 sell tx | 8 unfinished tx.
The 393 round: 55 buy tx | 46 sell tx | 7 unfinished tx.
The 394 round: 40 buy tx | 58 sell tx | 9 unfinished tx.
The 395 round: 48 buy tx | 53 sell tx | 8 unfinished tx.
The 396 round: 50 buy tx | 50 sell tx | 8 unfinished tx.
The 397 round: 54 buy tx | 46 sell tx | 8 unfinished tx.
The 398 round: 53 buy tx | 48 sell tx | 7 unfinished tx.
The 399 round: 50 buy tx | 48 sell tx | 9 unfinished tx.
The 400 round: 100 buy tx | 2 sell tx | 7 unfinished tx.
The 401 round: 52 buy tx | 50 sell tx | 5 unfinished tx.
The 402 round: 51 buy tx | 49 sell tx | 5 unfinished tx.
The 403 round: 47 buy tx | 52 sell tx | 6 unfinished tx.
The 404 round: 55 buy tx | 46 sell tx | 5 unfinished tx.
The 405 round: 41 buy tx | 58 sell tx | 6 unfinished tx.
The 406 round: 54 buy tx | 44 sell tx | 8 unfinished tx.
The 407 round: 51 buy tx | 49 sell tx | 8 unfinished tx.
The 408 round: 48 buy tx | 52 sell tx | 8 unfinished tx.
The 409 round: 40 buy tx | 60 sell tx | 8 unfinished tx.
The 410 round: 55 buy tx | 47 sell tx | 6 unfinished tx.
The 411 round: 45 buy tx | 55 sell tx | 6 unfinished tx.
The 412 round: 54 buy tx | 46 sell tx | 6 unfinished tx.
The 413 round: 48 buy tx | 52 sell tx | 6 unfinished tx.
The 414 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 415 round: 49 buy tx | 51 sell tx | 6 unfinished tx.
The 416 round: 56 buy tx | 44 sell tx | 6 unfinished tx.
The 417 round: 48 buy tx | 53 sell tx | 5 unfinished tx.
The 418 round: 51 buy tx | 48 sell tx | 6 unfinished tx.
The 419 round: 55 buy tx | 45 sell tx | 6 unfinished tx.
The 420 round: 52 buy tx | 49 sell tx | 5 unfinished tx.
The 421 round: 51 buy tx | 48 sell tx | 6 unfinished tx.
The 422 round: 46 buy tx | 54 sell tx | 6 unfinished tx.
